Cheat,NTX,NTY,NTZ,LCX,LCY,LCZ,RCX,RCY,RCZ,MEX,MEY,MEZ,Faces,Dir,NotVis,Vis ,VisCount,FirstObj,SecondObj,Tob
0,309.983,361.079,-23.5213,349.9,351.144,-29.0653,285.431,354.62,-5.64268,310.882,319.557,9.2656,1,6,00:00.0,00:00.0,0,1,0,0
0,305.694,298.053,-7.69623,348.312,295.201,-30.3324,275.846,312.546,-5.92668,299.63,262.118,2.64203,1,6,00:00.0,00:00.0,0,1,0,0
1,314.717,285.525,-11.0097,340.958,289.635,-25.0268,272.357,273.235,5.96359,322.708,234.219,-7.61405,1,6,00:00.0,00:00.0,0,1,0,0
1,310.403,319.304,-10.671,348.355,297.277,-27.1699,267.444,341.534,-0.773291,284.237,275.387,-2.55485,1,6,00:00.0,00:00.0,0,1,0,0
1,318.461,136.942,-12.1928,327.529,137.644,-20.2832,290.755,127.788,13.7047,317.61,118.302,-13.7052,1,6,00:00.0,00:00.0,0,1,0,0
1,308.963,145.468,-13.1542,320.723,149.544,-21.1686,284.367,130.254,10.3921,315.939,127.934,-10.4533,1,6,00:00.0,00:00.0,0,1,0,0
1,316.081,138.963,-19.0666,329.147,135.199,-19.9632,287.665,130.392,14.0594,311.069,116.019,-10.8768,1,6,00:00.0,00:00.0,0,1,0,0
1,318.725,136.965,-13.539,328.014,135.908,-18.5442,291.92,129.316,13.7714,315.555,116.512,-12.4753,1,6,00:00.0,00:00.0,0,1,0,0
1,312.707,133.307,-13.2689,333.135,134.146,-25.2283,282.684,128.221,6.60602,308.125,113.256,-8.00689,1,6,00:00.0,00:00.0,0,1,0,0
1,313.512,137.895,-15.9444,325.302,135.89,-19.684,286.017,129.816,13.5125,309.098,116.451,-11.4389,1,6,00:00.0,00:00.0,0,1,0,0
1,315.605,138.263,-14.2261,327.36,139.025,-20.755,288.714,129.085,11.6467,316.489,118.991,-10.6221,1,6,00:00.0,00:00.0,0,1,0,0
